"species"	"decimallatitude"	"decimallongitude"	"class"
"54"	"Sundamys muelleri"	2.67	115.62	"Mammalia"
"55"	"Aethalops alecto"	2.85	115.8	"Mammalia"
"56"	"Balionycteris maculata"	2.85	115.8	"Mammalia"
"57"	"Balionycteris maculata"	-0.833	117	"Mammalia"
"58"	"Cynopterus brachyotis"	2.85	115.8	"Mammalia"
"59"	"Hipposideros diadema"	5.533	118.067	"Mammalia"
"60"	"Hipposideros dyacorum"	5.85	117.967	"Mammalia"
"61"	"Kerivoula papillosa"	5.85	117.967	"Mammalia"
"62"	"Macroglossus minimus"	-0.833	117	"Mammalia"
"63"	"Murina aenea"	5.85	117.967	"Mammalia"
"64"	"Myotis muricola"	6.25	116.25	"Mammalia"
"65"	"Rhinolophus borneensis"	-0.833	117	"Mammalia"
"66"	""	2.5	113.5	"Mammalia"
"67"	"Exilisciurus exilis"	4.41	118.01	"Mammalia"
"68"	"Megaderma spasma"	6.70120700029339	116.979526850433	"Mammalia"
"69"	"Hipposideros galeritus"	5.51667	118.06667	"Mammalia"
"70"	"Penthetor lucasi"	4.96667	117.08333	"Mammalia"
"71"	"Hipposideros cineraceus"	4.63333	116.61667	"Mammalia"
"72"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"73"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"74"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"75"	"Rattus argentiventer"	-3.41667	114.41667	"Mammalia"
"76"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"77"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"78"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"79"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"80"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"81"	"Rattus argentiventer"	-3.3	114.71667	"Mammalia"
"82"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"83"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"84"	"Rattus argentiventer"	-3.36667	114.66667	"Mammalia"
"85"	"Rattus argentiventer"	-3.4	114.7	"Mammalia"
"86"	"Cynopterus brachyotis"	-0.43333	117.09167	"Mammalia"
"87"	"Eonycteris spelaea"	-0.38333	116.975	"Mammalia"
"88"	"Cynopterus brachyotis"	-0.38333	116.975	"Mammalia"
"89"	"Glischropus tylopus"	4.93333	114.96667	"Mammalia"
"90"	"Macroglossus minimus"	4.93333	114.96667	"Mammalia"
"91"	"Balionycteris maculata"	4.93333	114.96667	"Mammalia"
"92"	"Balionycteris maculata"	4.93333	114.96667	"Mammalia"
"93"	"Balionycteris maculata"	4.93333	114.96667	"Mammalia"
"94"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"95"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"96"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"97"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"98"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"99"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"100"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"101"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"102"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"103"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"104"	"Cynopterus minutus"	4.93333	114.96667	"Mammalia"
"105"	"Cynopterus brachyotis"	4.93333	114.96667	"Mammalia"
"106"	"Sundasciurus lowii"	3.7	114.43333	"Mammalia"
"107"	"Callosciurus prevostii"	1.13333	109.6	"Mammalia"
"108"	"Mydaus javanensis"	3.75	115.51667	"Mammalia"
"109"	"Mydaus javanensis"	3.75	115.51667	"Mammalia"
"110"	"Presbytis rubicunda"	3.75	115.45	"Mammalia"
"111"	"Callosciurus notatus"	3.63333	115.51667	"Mammalia"
"112"	"Sundasciurus brookei"	2.85	114.85	"Mammalia"
"113"	"Sundasciurus brookei"	2.85	114.85	"Mammalia"
"114"	"Callosciurus orestes"	2.85	114.85	"Mammalia"
"115"	"Presbytis rubicunda"	2.85	114.85	"Mammalia"
"116"	"Rattus exulans"	3.91667	114.45	"Mammalia"
"117"	"Pteropus vampyrus"	3.91667	114.45	"Mammalia"
"118"	"Sundamys muelleri"	6.2	116.23333	"Mammalia"
"119"	"Hemigalus derbyanus"	3.31667	114.78333	"Mammalia"
"120"	"Nasalis larvatus"	4.41667	117.48333	"Mammalia"
"121"	"Callosciurus prevostii"	4.41667	117.48333	"Mammalia"
"122"	"Tragulus javanicus"	4.41667	117.48333	"Mammalia"
"123"	"Petaurista elegans"	6.08333	116.55	"Mammalia"
"124"	"Callosciurus prevostii"	3.31667	114.78333	"Mammalia"
"125"	"Callosciurus prevostii"	3.31667	114.78333	"Mammalia"
"126"	""	3.63333	115.51667	"Mammalia"
"127"	"Rattus rattus"	3.75	115.45	"Mammalia"
"128"	"Rattus exulans"	3.75	115.45	"Mammalia"
"129"	"Rattus exulans"	3.75	115.45	"Mammalia"
"130"	"Dremomys everetti"	6.06667	116.56667	"Mammalia"
"131"	"Presbytis rubicunda"	5.28333	117.55	"Mammalia"
"132"	"Sundasciurus hippurus"	5.28333	117.55	"Mammalia"
"133"	"Maxomys surifer"	6.16667	116.23333	"Mammalia"
"134"	"Maxomys surifer"	6.16667	116.23333	"Mammalia"
"135"	"Lariscus insignis"	4.05	114.93333	"Mammalia"
"136"	"Prionailurus bengalensis"	6.08333	116.55	"Mammalia"
"137"	"Sus barbatus"	5.83333	118.11667	"Mammalia"
"138"	"Rhinolophus trifoliatus"	5.83333	118.11667	"Mammalia"
"139"	"Tupaia tana"	5.83333	118.11667	"Mammalia"
"140"	"Rattus exulans"	5.83333	118.11667	"Mammalia"
"141"	"Paradoxurus hermaphroditus"	5.58333	118.06667	"Mammalia"
"142"	"Hemigalus derbyanus"	5.58333	118.06667	"Mammalia"
"143"	"Prionailurus bengalensis"	5.53333	118.55	"Mammalia"
"144"	"Ratufa affinis"	5.53333	118.55	"Mammalia"
"145"	"Tupaia tana"	5.53333	118.55	"Mammalia"
"146"	"Viverra tangalunga"	5.48333	118.56667	"Mammalia"
"147"	"Cephalopachus bancanus"	5.58333	118.06667	"Mammalia"
"148"	"Exilisciurus exilis"	5.53333	118.55	"Mammalia"
"149"	"Exilisciurus exilis"	5.58333	118.06667	"Mammalia"
"150"	"Callosciurus prevostii"	5.53333	118.55	"Mammalia"
"151"	"Pteropus vampyrus"	5.58333	118.06667	"Mammalia"
"152"	"Pteropus vampyrus"	5.83333	118.11667	"Mammalia"
"153"	"Hipposideros cervinus"	5.86667	118.11667	"Mammalia"
"154"	"Hipposideros cervinus"	5.86667	118.11667	"Mammalia"
"155"	"Hipposideros cervinus"	5.86667	118.11667	"Mammalia"
"156"	"Emballonura monticola"	5.58333	118.06667	"Mammalia"
"157"	"Nannosciurus melanotis"	1.48333	110.33333	"Mammalia"
"158"	"Callosciurus prevostii"	1.48333	110.33333	"Mammalia"
"159"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"160"	"Callosciurus notatus"	1.48333	110.33333	"Mammalia"
"161"	"Rattus rattus"	1.48333	110.33333	"Mammalia"
"162"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"163"	"Sundamys muelleri"	1.48333	110.33333	"Mammalia"
"164"	"Presbytis rubicunda"	2.7	114.65	"Mammalia"
"165"	"Hylobates funereus"	3.75	115.45	"Mammalia"
"166"	"Penthetor lucasi"	3.21667	114.41667	"Mammalia"
"167"	"Callosciurus prevostii"	1.71667	111.8	"Mammalia"
"168"	"Cynopterus brachyotis"	6.05	116.8	"Mammalia"
"169"	"Macroglossus minimus"	6.05	116.8	"Mammalia"
"170"	"Leopoldamys sabanus"	6.08333	116.55	"Mammalia"
"171"	"Callosciurus orestes"	5.98333	116.53333	"Mammalia"
"172"	"Ratufa affinis"	1.71667	111.8	"Mammalia"
"173"	"Sus barbatus"	4.41667	117.48333	"Mammalia"
"174"	"Tupaia montana"	6.08333	116.55	"Mammalia"
"175"	"Dremomys everetti"	6.08333	116.55	"Mammalia"
"176"	"Rattus baluensis"	6.08333	116.55	"Mammalia"
"177"	"Pongo pygmaeus"	0	114	"Mammalia"
"178"	""	5.5	117	"Mammalia"
"179"	"Sundasciurus lowii"	6.02	116.87	"Mammalia"
"180"	"Maxomys surifer"	6.02	116.87	"Mammalia"
"181"	"Pithecheirops otion"	4.97	117.8	"Mammalia"
"182"	"Rattus tanezumi"	-2.63	115.45	"Mammalia"
"183"	"Rattus tanezumi"	-2.63	115.45	"Mammalia"
"184"	"Rattus tanezumi"	-2.5	115.4	"Mammalia"
"185"	"Myotis adversus"	2.6533	113.0514	"Mammalia"
"186"	"Cynopterus horsfieldii"	-2.63	115.45	"Mammalia"
"187"	"Cynopterus horsfieldii"	-2.63	115.45	"Mammalia"
"188"	"Emballonura alecto"	-2.63	115.45	"Mammalia"
"189"	"Cynopterus brachyotis"	-0.92	117	"Mammalia"
"190"	"Emballonura alecto"	-2.63	115.45	"Mammalia"
"191"	"Penthetor lucasi"	2.65333	113.0515	"Mammalia"
"192"	"Penthetor lucasi"	2.65333	113.0515	"Mammalia"
"193"	"Penthetor lucasi"	2.65333	113.0515	"Mammalia"
"194"	"Cynopterus brachyotis"	-2.63	115.45	"Mammalia"
"195"	"Cynopterus brachyotis"	-2.63	115.45	"Mammalia"
"196"	"Cynopterus brachyotis"	-3.2181	114.37	"Mammalia"
"197"	"Cynopterus brachyotis"	-2.63	115.45	"Mammalia"
"198"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"199"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"200"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"201"	"Pteropus hypomelanus"	2.28	118.25	"Mammalia"
"202"	"Tupaia tana"	1.1	117.9	"Mammalia"
"203"	"Tupaia longipes"	0.5	117.15	"Mammalia"
"204"	"Tupaia longipes"	-0.55	117.08	"Mammalia"
"205"	"Hipposideros galeritus"	2.6533	113.0514	"Mammalia"
"206"	"Miniopterus australis"	2.6533	113.0514	"Mammalia"
"207"	"Crocidura fuliginosa"	2.6533	113.0514	"Mammalia"
"208"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"209"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"210"	"Balionycteris maculata"	2.65333	113.0515	"Mammalia"
"211"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"212"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"213"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"214"	"Hipposideros cervinus"	3.0933	113.6711	"Mammalia"
"215"	"Sundamys muelleri"	6.02	116.87	"Mammalia"
"216"	"Sundamys muelleri"	6	116.68	"Mammalia"
"217"	"Sundamys muelleri"	6.12	116.8	"Mammalia"
"218"	"Sundamys muelleri"	2.65333	113.0515	"Mammalia"
"219"	"Myotis gomantongensis"	2.65333	113.0515	"Mammalia"
"220"	"Myotis gomantongensis"	2.65333	113.0515	"Mammalia"
"221"	"Kerivoula lenis"	2.65333	113.0515	"Mammalia"
"222"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"223"	"Tupaia minor"	-3.67	116.17	"Mammalia"
"224"	"Tupaia minor"	2.17	117.5	"Mammalia"
"225"	"Tupaia minor"	6.02	116.87	"Mammalia"
"226"	"Eonycteris spelaea"	-2.5	115.4	"Mammalia"
"227"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"228"	"Myotis horsfieldii"	2.6533	113.0514	"Mammalia"
"229"	"Rattus exulans"	-1.07	110.63	"Mammalia"
"230"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"231"	"Tupaia gracilis"	2.17	117.5	"Mammalia"
"232"	"Tupaia montana"	5.98	116.53	"Mammalia"
"233"	"Tupaia montana"	5.98	116.53	"Mammalia"
"234"	"Tupaia montana"	6.03	116.55	"Mammalia"
"235"	"Tupaia gracilis"	6.12	116.8	"Mammalia"
"236"	"Tupaia montana"	5.55	116.52	"Mammalia"
"237"	"Cynopterus brachyotis"	-3.2181	114.37	"Mammalia"
"238"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"239"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"240"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"241"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"242"	"Rhinolophus borneensis"	2.65333	113.0515	"Mammalia"
"243"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"244"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"245"	"Chrotomys whiteheadi"	6.03	116.72	"Mammalia"
"246"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"247"	"Chrotomys whiteheadi"	6	116.68	"Mammalia"
"248"	"Callosciurus prevostii"	3.00936	113.77358	"Mammalia"
"249"	"Crocidura foetida"	6.07253	116.56143	"Mammalia"
"250"	"Prionailurus bengalensis"	3.00936	113.77358	"Mammalia"
"251"	"Loris tardigradus"	3.00936	113.77358	"Mammalia"
"252"	"Macaca fascicularis"	3.00936	113.77358	"Mammalia"
"253"	"Trachypithecus cristatus"	3.00936	113.77358	"Mammalia"
"254"	"Tylonycteris robustula"	1.61175	110.19589	"Mammalia"
"255"	"Macroglossus minimus"	6.20042	116.75208	"Mammalia"
"256"	"Kerivoula hardwickii"	6.20042	116.75208	"Mammalia"
"257"	"Niviventer cremoriventer"	6.20042	116.75208	"Mammalia"
"258"	"Sundamys muelleri"	6.20042	116.75208	"Mammalia"
"259"	"Cynopterus brachyotis"	1.61175	110.19589	"Mammalia"
"260"	"Rhinolophus trifoliatus"	1.71653	110.44442	"Mammalia"
"261"	"Hipposideros cervinus"	1.12817	110.21853	"Mammalia"
"262"	"Eonycteris major"	1.11681	110.21392	"Mammalia"
"263"	"Pongo pygmaeus"	6.10233	117.38433	"Mammalia"
"264"	"Cynopterus brachyotis"	5.98333	116.53333	"Mammalia"
"265"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"266"	"Tragulus javanicus"	4.58333	113.98333	"Mammalia"
"267"	"Macaca fascicularis"	1.80142	110.331	"Mammalia"
"268"	"Nannosciurus melanotis"	-1.51667	111.5	"Mammalia"
"269"	"Nannosciurus melanotis"	-1.51667	111.5	"Mammalia"
"270"	"Sundamys muelleri"	-1.51667	111.5	"Mammalia"
"271"	""	-1.51667	111.5	"Mammalia"
"272"	""	-1.51667	111.5	"Mammalia"
"273"	"Nannosciurus melanotis"	-1.51667	111.5	"Mammalia"
"274"	"Sundamys muelleri"	-1.51667	111.5	"Mammalia"
"275"	"Rattus exulans"	-1.51667	111.5	"Mammalia"
"276"	"Rattus exulans"	-1.51667	111.5	"Mammalia"
"277"	""	-1.51667	111.5	"Mammalia"
"278"	""	-1.51667	111.5	"Mammalia"
"279"	"Presbytis rubicunda"	-1.51667	111.5	"Mammalia"
"280"	"Callosciurus prevostii"	-1.51667	111.5	"Mammalia"
"281"	""	-1.51667	111.5	"Mammalia"
"282"	"Rattus rattus"	-1.55	112.58333	"Mammalia"
"283"	"Macaca fascicularis"	5.16667	118.75	"Mammalia"
"284"	"Macaca nemestrina"	5.16667	118.75	"Mammalia"
"285"	"Pongo pygmaeus"	-2.42397	111.64223	"Mammalia"
"286"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"287"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"288"	"Myotis ater"	2.6533	113.0514	"Mammalia"
"289"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"290"	"Miniopterus australis"	2.6533	113.0514	"Mammalia"
"291"	"Rattus tiomanicus"	2.6533	113.0514	"Mammalia"
"292"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"293"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"294"	"Hipposideros galeritus"	2.6533	113.0514	"Mammalia"
"295"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"296"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"297"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"298"	"Myotis montivagus"	2.6533	113.0514	"Mammalia"
"299"	"Hipposideros galeritus"	2.6533	113.0514	"Mammalia"
"300"	"Balionycteris maculata"	4.39817	117.8876	"Mammalia"
"301"	"Thoopterus nigrescens"	2.90217	119.69732	"Mammalia"
"302"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"303"	"Callosciurus prevostii"	-1.21333	110.09533	"Mammalia"
"304"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"305"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"306"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"307"	"Callosciurus prevostii"	5.83948	117.94886	"Mammalia"
"308"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"309"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"310"	"Pongo pygmaeus"	-1.21333	110.09533	"Mammalia"
"311"	"Hylobates albibarbis"	-1.21333	110.09533	"Mammalia"
"312"	"Tupaia gracilis"	0.9	109.9	"Mammalia"
"313"	"Hipposideros galeritus"	1.166	110.45	"Mammalia"
"314"	"Hipposideros cervinus"	4.033	114.883	"Mammalia"
"315"	"Rhinolophus borneensis"	4.033	114.883	"Mammalia"
"316"	"Maxomys surifer"	-0.83	117	"Mammalia"
"317"	"Maxomys rajah"	2.85	115.8	"Mammalia"
"318"	"Leopoldamys sabanus"	2.67	115.62	"Mammalia"
"319"	"Maxomys rajah"	2.85	115.8	"Mammalia"
"320"	"Maxomys surifer"	2.85	115.8	"Mammalia"
"321"	"Murina cyclotis"	1.87	108.15	"Mammalia"
"322"	"Murina aurata"	1.87	108.15	"Mammalia"
"323"	"Hipposideros cervinus"	4.833	117.5	"Mammalia"
"324"	"Hipposideros diadema"	5.533	118.067	"Mammalia"
"325"	"Macroglossus minimus"	2.85	115.8	"Mammalia"
"326"	"Macroglossus minimus"	2.85	115.8	"Mammalia"
"327"	"Penthetor lucasi"	2.667	115.617	"Mammalia"
"328"	"Myotis gomantongensis"	5.533	118.067	"Mammalia"
"329"	"Rhinolophus philippinensis"	5.533	118.067	"Mammalia"
"330"	"Saccolaimus saccolaimus"	2.15	111.61667	"Mammalia"
"331"	"Sus barbatus"	4.58333	113.98333	"Mammalia"
"332"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"333"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"334"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"335"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"336"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"337"	"Presbytis hosei"	3.80002	114.43997	"Mammalia"
"338"	"Cynopterus brachyotis"	2.65333	113.0515	"Mammalia"
"339"	"Chiropodomys major"	6	116.68	"Mammalia"
"340"	"Rattus tiomanicus"	2.6533	113.0514	"Mammalia"
"341"	"Rattus tiomanicus"	2.6533	113.0514	"Mammalia"
"342"	"Tupaia tana"	5.5	117	"Mammalia"
"343"	"Tupaia tana"	1.05	111.85	"Mammalia"
"344"	"Tylonycteris robustula"	0.48	117.53	"Mammalia"
"345"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"346"	"Penthetor lucasi"	2.6533	113.0514	"Mammalia"
"347"	"Penthetor lucasi"	2.65333	113.0515	"Mammalia"
"348"	"Cynopterus brachyotis"	-1.25	109.95	"Mammalia"
"349"	"Tupaia tana"	2.18	117.47	"Mammalia"
"350"	"Tupaia tana"	0.82	117.7	"Mammalia"
"351"	"Tupaia longipes"	1.1	117.9	"Mammalia"
"352"	"Miniopterus australis"	2.65333	113.0515	"Mammalia"
"353"	"Dendrogale melanura"	5.98	116.53	"Mammalia"
"354"	"Rheithrosciurus macrotis"	6.02	116.87	"Mammalia"
"355"	"Hipposideros bicolor"	2.6533	113.0514	"Mammalia"
"356"	"Hipposideros bicolor"	2.65333	113.0515	"Mammalia"
"357"	"Hipposideros bicolor"	2.65333	113.0515	"Mammalia"
"358"	"Hipposideros bicolor"	2.65333	113.0515	"Mammalia"
"359"	"Balionycteris maculata"	2.65333	113.0515	"Mammalia"
"360"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"361"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"362"	"Hipposideros cervinus"	2.6533	113.0514	"Mammalia"
"363"	"Sundamys muelleri"	2.65333	113.0515	"Mammalia"
"364"	"Sundamys muelleri"	2.6533	113.0514	"Mammalia"
"365"	"Galeopterus variegatus"	-1.22	109.25	"Mammalia"
"366"	"Myotis gomantongensis"	2.65333	113.0515	"Mammalia"
"367"	"Hipposideros cervinus"	2.65333	113.0515	"Mammalia"
"368"	"Rhinolophus philippinensis"	2.6533	113.0514	"Mammalia"
"369"	"Myotis horsfieldii"	2.6533	113.0514	"Mammalia"
"370"	"Myotis horsfieldii"	2.6533	113.0514	"Mammalia"
"371"	"Scotophilus kuhlii"	-2.5	115.4	"Mammalia"
"372"	"Callosciurus notatus"	6.12	116.8	"Mammalia"
"373"	"Callosciurus notatus"	6.02	116.87	"Mammalia"
"374"	"Callosciurus prevostii"	6.02	116.87	"Mammalia"
"375"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"376"	"Macroglossus minimus"	2.65333	113.0515	"Mammalia"
"377"	"Macaca fascicularis"	-2.5	115.4	"Mammalia"
"378"	"Tupaia gracilis"	6.08	116.72	"Mammalia"
"379"	"Tupaia montana"	5.98	116.53	"Mammalia"
"380"	"Cynopterus brachyotis"	-2.5	115.4	"Mammalia"
"381"	"Cynopterus brachyotis"	-3.2181	114.37	"Mammalia"
"382"	"Rhinolophus borneensis"	2.6533	113.0514	"Mammalia"
"383"	"Rhinolophus borneensis"	2.65333	113.0515	"Mammalia"
"384"	"Hylobates muelleri"	4.90301	117.85172	"Mammalia"
"385"	"Macroglossus minimus"	6.20042	116.75208	"Mammalia"
"386"	"Hipposideros cervinus"	1.61175	110.19589	"Mammalia"
"387"	"Penthetor lucasi"	1.61175	110.19589	"Mammalia"
"388"	"Rhinolophus affinis"	1.12817	110.21853	"Mammalia"
"389"	"Megaerops ecaudatus"	1.11681	110.21392	"Mammalia"
"390"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"391"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"392"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"393"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"394"	"Hipposideros cervinus"	5.51667	118.06667	"Mammalia"
"395"	"Macaca nemestrina"	4.58333	113.98333	"Mammalia"
"396"	"Sundamys muelleri"	4.41667	118.017	"Mammalia"
"397"	"Hylobates muelleri"	5.16667	118.75	"Mammalia"
"398"	"Macaca fascicularis"	-1.06472	112.04028	"Mammalia"
"399"	"Sundasciurus jentinki"	3.63333	115.51667	"Mammalia"
"400"	"Callosciurus prevostii"	3.31667	114.78333	"Mammalia"
"401"	"Callosciurus prevostii"	3.31667	114.78333	"Mammalia"
"402"	"Sundasciurus hippurus"	2.7	114.65	"Mammalia"
"403"	"Hemigalus derbyanus"	3.75	115.51667	"Mammalia"
"404"	"Rattus rattus"	3.63333	115.51667	"Mammalia"
"405"	"Hylobates funereus"	2.7	114.65	"Mammalia"
"406"	"Hylobates funereus"	2.85	114.85	"Mammalia"
"407"	"Presbytis rubicunda"	2.85	114.85	"Mammalia"
"408"	"Aonyx cinereus"	2.85	114.85	"Mammalia"
"409"	"Macaca nemestrina"	4.41667	117.48333	"Mammalia"
"410"	"Callosciurus prevostii"	2.85	114.85	"Mammalia"
"411"	"Callosciurus prevostii"	2.85	114.85	"Mammalia"
"412"	"Paguma larvata"	3.63333	115.51667	"Mammalia"
"413"	"Rattus tiomanicus"	3.63333	115.51667	"Mammalia"
"414"	"Tupaia montana"	6.05	116.8	"Mammalia"
